TimeStamp,AccX,AccY,AccZ
21:31.4,-8.40E-01,-1.80E-01,-2.50E-01
21:31.6,-8.50E-01,-2.60E-01,-2.70E-01
21:31.7,-8.70E-01,-2.20E-01,-2.70E-01
21:31.8,-8.70E-01,-2.70E-01,-1.70E-01
21:31.9,-8.10E-01,-1.70E-01,-2.40E-01
21:32.1,-8.50E-01,1.00E-02,-1.40E-01
21:32.2,-1.33E+00,6.90E-01,-6.00E-02
21:32.3,-1.16E+00,5.30E-01,-2.70E-01
21:32.4,-1.82E+00,3.50E-01,-1.40E-01
21:32.6,-1.14E+00,2.90E-01,-1.90E-01
21:32.7,-8.00E-02,3.40E-01,-1.30E-01
21:32.8,3.10E-01,2.70E-01,-7.00E-02
21:32.9,1.00E-01,2.80E-01,1.10E-01
21:33.0,-8.30E-01,2.10E-01,9.00E-02
21:33.2,-8.20E-01,3.00E-01,-1.90E-01
21:33.2,-1.55E+00,4.50E-01,-8.00E-02
21:33.4,-1.41E+00,4.00E-02,-1.90E-01
21:33.5,-1.07E+00,-3.80E-01,-1.40E-01
21:33.6,-9.50E-01,-1.70E-01,-2.70E-01
21:33.7,-7.90E-01,-9.00E-02,-1.80E-01
21:33.9,-8.30E-01,-8.00E-02,-1.20E-01
21:34.0,-8.30E-01,-8.00E-02,-1.80E-01
21:34.1,-9.10E-01,-2.60E-01,-3.20E-01
21:34.2,-8.00E-01,-1.60E-01,-2.50E-01
21:34.3,-9.50E-01,-2.20E-01,-2.80E-01
21:34.5,-8.80E-01,-2.90E-01,-2.70E-01
21:34.6,-9.00E-01,-2.60E-01,-1.80E-01
21:34.7,-8.60E-01,-1.80E-01,-1.80E-01
21:34.8,-9.50E-01,-2.50E-01,-2.60E-01
21:35.0,-8.50E-01,-2.60E-01,-1.90E-01
21:35.1,-1.01E+00,-2.40E-01,-2.60E-01
21:35.2,-8.50E-01,-2.00E-01,-2.10E-01
21:35.3,-8.00E-01,-2.50E-01,-1.20E-01
21:35.4,-9.40E-01,-2.20E-01,-2.50E-01
21:35.5,-8.80E-01,-1.80E-01,-2.20E-01
21:35.7,-8.00E-01,-2.50E-01,-1.60E-01
21:35.8,-9.50E-01,-3.20E-01,-2.00E-01
21:35.9,-9.10E-01,-2.70E-01,-2.20E-01
21:36.0,-9.70E-01,-1.80E-01,-1.20E-01
21:36.1,-9.00E-01,-1.80E-01,-2.00E-01
21:36.3,-9.70E-01,-2.70E-01,-2.50E-01
21:36.4,-8.20E-01,-1.80E-01,-2.10E-01
21:36.5,-8.40E-01,-2.70E-01,-1.60E-01
21:36.6,-9.60E-01,-3.30E-01,-1.80E-01
21:36.8,-8.80E-01,-2.50E-01,-1.70E-01
21:36.9,-8.50E-01,-2.60E-01,-2.80E-01
21:37.0,-8.50E-01,-1.60E-01,-1.50E-01
21:37.1,-8.50E-01,-2.30E-01,-2.20E-01
21:37.2,-8.40E-01,-2.60E-01,-1.60E-01
21:37.3,-8.10E-01,-2.10E-01,-1.70E-01
21:37.4,-8.60E-01,-1.80E-01,-1.40E-01
21:37.6,-8.80E-01,-2.60E-01,-2.60E-01
21:37.7,-8.20E-01,-2.70E-01,-2.50E-01
21:37.8,-8.70E-01,-2.80E-01,-1.90E-01
21:37.9,-8.90E-01,-2.50E-01,-1.10E-01
21:38.1,-9.00E-01,-2.10E-01,-2.10E-01
21:38.2,-8.00E-01,-2.60E-01,-2.00E-01
21:38.3,-8.90E-01,-1.60E-01,-2.10E-01
21:38.4,-8.70E-01,-2.50E-01,-1.60E-01
21:38.6,-8.90E-01,-1.90E-01,-2.80E-01
21:38.7,-7.30E-01,-1.80E-01,-1.90E-01
21:38.8,-9.40E-01,-1.70E-01,-2.00E-01
21:38.9,-8.70E-01,-2.60E-01,-1.20E-01
21:39.0,-8.50E-01,-1.80E-01,-1.70E-01
21:39.1,-8.00E-01,-2.10E-01,-1.80E-01
21:39.2,-9.00E-01,-2.60E-01,-1.60E-01
21:39.4,-9.20E-01,-2.60E-01,-1.90E-01
21:39.5,-8.60E-01,-2.50E-01,-2.50E-01
21:39.6,-7.80E-01,-1.80E-01,-2.00E-01
21:39.7,-8.40E-01,-2.00E-01,-2.70E-01
21:39.9,-8.80E-01,-1.90E-01,-2.00E-01
21:40.0,-7.40E-01,4.10E-01,-1.00E-01
21:40.1,-1.33E+00,3.80E-01,-3.00E-01
21:40.2,-1.85E+00,9.80E-01,-2.80E-01
21:40.4,-1.21E+00,3.80E-01,-4.30E-01
21:40.5,-8.30E-01,8.20E-01,-1.70E-01
21:40.6,-8.00E-02,2.50E-01,-1.30E-01
21:40.7,1.40E-01,1.10E-01,2.20E-01
21:40.8,1.40E-01,4.10E-01,2.10E-01
21:40.9,-3.60E-01,5.60E-01,-1.10E-01
21:41.1,-5.90E-01,4.60E-01,-3.40E-01
21:41.2,-1.77E+00,8.50E-01,-2.00E-01
21:41.3,-1.26E+00,-1.20E-01,-3.70E-01
21:41.4,-1.11E+00,-1.00E-01,-1.70E-01
21:41.5,-1.08E+00,-1.80E-01,-3.10E-01
21:41.7,-1.02E+00,-2.80E-01,-3.40E-01
21:41.8,-7.90E-01,-2.20E-01,-2.60E-01
21:41.9,-9.40E-01,-2.40E-01,-2.80E-01
